Word		Original_root		Predicted_root
۔		۔		
مستقر		مستقر		
گجویل		گجویل		
مےں		مےں		
مشتبہ		مشتبہ		
حالت		حالت		
مےں		مےں		
اےک		اےک		
نوجوان		نوجوان		
خاتون		خاتون		
فوت		فوت		
ہو		ہو		
گئی		جا		
۔		۔		
منڈل		منڈل		
ناگی		ناگی		
ریڈی		ریڈی		
پیٹ		پیٹ		
کے		کا		
بلارم		بلارم		
موضع		موضع		
مےں		مےں		
گرام		گرام		
پنچایت		پنچایت		
عمارت		عمارت		
کے		کا		
تعمیری		تعمیری		
کام		کام		
کے		کا		
معائنہ		معائنہ		
کے		کے		
لئے		لئے		
پنچایت		پنچایت		
راج		راج		
اے		اے		
ای		ای		
مسٹر		مسٹر		
رام		رام		
انجینلو		انجینلو		
نے		نے		
دورہ		دورہ		
کرتے		کر		
ہوئے		ہو		
تعمیری		تعمیری		
کام		کام		
کا		کا		
معائنہ		معائنہ		
کیا		کر		
۔		۔		
ان		یہ		
دنوں		دن		
موضع		موضع		
بلارم		بلارم		
میں		میں		
10		10		
لاکھ		لاکھ		
روپئے		روپیہ		
لاگت		لاگت		
سے		سے		
پنچایت		پنچایت		
بھون		بھون		
کی		کا		
تعمیر		تعمیر		
عمل		عمل		
مےں		مےں		
لائی		لا		
جا		جا		
رہی		رہ		
ہے		ہے		
۔		۔		
اس		یہ		
موقع		موقع		
پر		پر		
انہوں		وہ		
نے		نے		
متعلقہ		متعلقہ		
گتہ_دار		گتہ_دار		
سے		سے		
کہا		کہہ		
کہ		کہ		
ساتھ		ساتھ		
ساتھ		ساتھ		
کام		کام		
کی		کا		
کیورنگ		کیورنگ		
کرواتے		کروا		
رہیں		رہ		
اور		اور		
انتباہ		انتباہ		
دیا		دے		
کہ		کہ		
اگر		اگر		
تعمیری		تعمیری		
کام		کام		
مےں		مےں		
کوئی		کوئی		
نقص		نقص		
رہا		رہ		
تو		تو		
بل		بل		
منظور		منظور		
نہیں		نہیں		
کئے		کر		
جائیں_گے		جا		
۔		۔		
انہوں		وہ		
نے		نے		
مشورہ		مشورہ		
دیا		دے		
کہ		کہ		
کام		کام		
مےں		مےں		
تیزی		تیزی		
پیدا		پیدا		
کرتے		کر		
ہوئے		ہو		
اسے		یہ		
جلد		جلد		
مکمل		مکمل		
کیا		کر		
جائے		جا		
۔		۔		
جامع		جامع		
مسجد		مسجد		
کمیٹی		کمیٹی		
صدر		صدر		
جناب		جناب		
محمد		محمد		
فصیح		فصیح		
الدین		الدین		
اور		اور		
معتمد		معتمد		
کمیٹی		کمیٹی		
محمد		محمد		
جمال		جمال		
شریف		شریف		
ایڈوکیٹ		ایڈوکیٹ		
نے		نے		
ریاستی		ریاستی		
وزیر		وزیر		
آئی		آئی		
ٹی		ٹی		
مسٹر		مسٹر		
پنالہ		پنالہ		
لکشمیا		لکشمیا		
اور		اور		
مارکٹ		مارکٹ		
کمیٹی		کمیٹی		
چیرمین		چیرمین		
وائی		وائی		
سدھاکر		سدھاکر		
کی		کا		
گلپوشی		گلپوشی		
کی		کر		
اور		اور		
مارکٹ		مارکٹ		
چیرمین		چیرمین		
کو		کو		
مبارکباد		مبارکباد		
پیش		پیش		
کی		کر		
۔		۔		
دورہ		دورہ		
کے		کا		
موقع		موقع		
پر		پر		
ڈی		ڈی		
ایس		ایس		
پی		پی		
جنگاؤں		جنگاؤں		
ناگراج		ناگراج		
کی		کا		
نگرانی		نگرانی		
مےں		مےں		
پولیس		پولیس		
کا		کا		
معقول		معقول		
بندوبست		بندوبست		
تھا		تھا		
۔		۔		
سرکل		سرکل		
انسپکٹر		انسپکٹر		
ٹاؤن		ٹاؤن		
جتیندر		جتیندر		
،		،		
NULL		null		
رورل		رورل		
سرکل		سرکل		
انسپکٹر		انسپکٹر		
جنگاؤں		جنگاؤں		
شیخ		شیخ		
اسماعیل		اسماعیل		
کے		کے		
علاوہ		علاوہ		
دیگر		دیگر		
پولیس		پولیس		
کے		کا		
عہدہ_دار		عہدہ_دار		
بھی		بھی		
موجود		موجود		
تھے		تھا		
۔		۔		
جبکہ		جبکہ		
ملک		ملک		
مےں		مےں		
کئی		کئی		
ریاستوں		ریاست		
مےں		مےں		
کانگریس		کانگریس		
نے		نے		
اقتدار		اقتدار		
سنبھالا		سنبھال		
اور		اور		
حکمرانی		حکمرانی		
کی		کر		
تاہم		تاہم		
ریاست		ریاست		
آندھرا		آندھرا		
پردیش		پردیش		
مےں		مےں		
وائی		وائی		
ایس		ایس		
آر		آر		
نے		نے		
نئی		نیا		
نئی		نیا		
اسکیمات		اسکیم		
کو		کو		
روشناس		روشناس		
کرواتے		کروا		
ہوئے		ہو		
اس		یہ		
پر		پر		
سختی		سختی		
سے		سے		
عمل_آوری		عمل_آوری		
کی		کر		
,		,		
NULL		null		
ریاست		ریاست		
کے		کا		
کسی		کوئی		
بھی		بھی		
طبقہ		طبقہ		
کو		کو		
انہوں		وہ		
نے		نے		
مایوس		مایوس		
نہیں		نہیں		
کیا		کر		
-		-		
NULL		null		
عام		عام		
خیال		خیال		
ہے		ہے		
کہ		کہ		
کڑپہ		کڑپہ		
کے		کا		
سیاسی		سیاسی		
نتائج		نتیجہ		
ریاست		ریاست		
کی		کا		
سیاست		سیاست		
مےں		مےں		
اےک		اےک		
نیا		نیا		
موڑ		موڑ		
ثابت		ثابت		
ہو		ہو		
سکتے		سک		
ہیں		ہے		
۔		۔		
آثار		آثار		
و		و		
قرائن		قرائن		
سے		سے		
یہ		یہ		
بات		بات		
واضح		واضح		
نظر		نظر		
آ		آ		
رہی		رہ		
ہے		ہے		
کہ		کہ		
عوام		عام		
کی		کا		
دلچسپی		دلچسپی		
اور		اور		
ہمدردی		ہمدردی		
وائی		وائی		
ایس		ایس		
جگن		جگن		
موہن		موہن		
ریڈی		ریڈی		
کی		کا		
جانب		جانب		
ہے		ہے		
،		،		
NULL		null		
حقیقت		حقیقت		
بھی		بھی		
ہے		ہے		
کہ		کہ		
2004		2004		
۶		۶		
کے		کا		
انتخابات		انتخاب		
ہوں		ہے		
یا		یا		
2009		2009		
۶		۶		
کے		کا		
انتخابات		انتخاب		
NULL		null		
ان		یہ		
دونوں		دو		
مےں		مےں		
کانگریس		کانگریس		
کو		کو		
کامیابی		کامیابی		
کی		کا		
سمت		سمت		
کانگریس		کانگریس		
پالیسی		پالیسی		
نہیں		نہیں		
NULL		null		
بلکہ		بلکہ		
آنجہانی		آنجہانی		
وائی		وائی		
ایس		ایس		
راج		راج		
شیکھر		شیکھر		
ریڈی		ریڈی		
کی		کا		
کامیاب		کامیاب		
حکمت		حکمت		
عملی		عملی		
نے		نے		
کامیابی		کامیابی		
کی		کا		
سمت		سمت		
دکھائی		دکھا		
۔		۔		
NULL		null		
ظاہر		ظاہر		
ہے		ہے		
کہ		کہ		
ان		یہ		
دونوں		دو		
کامیابیوں		کامیابی		
کو		کو		
کانگریس		کانگریس		
کی		کا		
NULL		null		
نہیں		نہیں		
NULL		null		
NULL		null		
وائی		وائی		
ایس		ایس		
آر		آر		
کی		کا		
کامیابی		کامیابی		
تصور		تصور		
کیا		کر		
جا		جا		
سکتا		سک		
ہے		ہے		
۔		۔		
جبکہ		جبکہ		
عوامی		عوامی		
کارکردگی		کارکردگی		
کے		کا		
جو		جو		
نقوش		نقش		
آنجہانی		آنجہانی		
وائی		وائی		
ایس		ایس		
راج		راج		
شیکھر		شیکھر		
ریڈی		ریڈی		
نے		نے		
چھوڑے		چھوڑ		
ہےں		ہے		
اس		یہ		
کو		کو		
ریاست		ریاست		
کے		کا		
عوام		عام		
بالخصوص		بالخصوص		
غریب		غریب		
عوام		عام		
کبھی		کبھی		
فراموش		فراموش		
نہیں		نہیں		
کر		کر		
سکتے		سک		
۔		۔		
جبکہ		جبکہ		
ملک		ملک		
مےں		مےں		
کئی		کئی		
ریاستوں		ریاست		
مےں		مےں		
کانگریس		کانگریس		
نے		نے		
اقتدار		اقتدار		
سنبھالا		سنبھال		
اور		اور		
حکمرانی		حکمرانی		
کی		کر		
تاہم		تاہم		
ریاست		ریاست		
آندھرا		آندھرا		
پردیش		پردیش		
مےں		مےں		
وائی		وائی		
ایس		ایس		
آر		آر		
نے		نے		
نئی		نیا		
نئی		نیا		
اسکیمات		اسکیم		
کو		کو		
روشناس		روشناس		
کرواتے		کروا		
ہوئے		ہو		
اس		یہ		
پر		پر		
سختی		سختی		
سے		سے		
عمل_آوری		عمل_آوری		
کی		کر		
,		,		
NULL		null		
ریاست		ریاست		
کے		کا		
کسی		کوئی		
بھی		بھی		
طبقہ		طبقہ		
کو		کو		
انہوں		وہ		
نے		نے		
مایوس		مایوس		
نہیں		نہیں		
کیا		کر		
-		-		
حتیٰ		حتیٰ		
کہ		کہ		
مذہبی		مذہبی		
رہنماؤں		رہنما		
نے		نے		
بھی		بھی		
جو		جو		
تجاویز		تجویز		
پیش		پیش		
کیں		کر		
ان		یہ		
کو		کو		
من		من		
و		و		
عن		عن		
انہوں		وہ		
نے		نے		
منظوری		منظوری		
دیتے		دے		
ہوئے		ہو		
اےک		اےک		
تاریخ		تاریخ		
رقم		رقم		
کی		کر		
کیونکہ		کیونکہ		
دوسری		دوسرا		
ریاستوں		ریاست		
مےں		مےں		
گیاس		گیاس		
سلنڈر		سلنڈر		
پر		پر		
پچاس		پچاس		
روپئے		روپیہ		
کی		کا		
سبسیڈی		سبسیڈی		
نہیں		نہیں		
ہے		ہے		
,		,		
ملک		ملک		
کی		کا		
ہر		ہر		
ریاست		ریاست		
میں		میں		
108		108		
سرویس		سرویس		
کی		کا		
سہولت		سہولت		
نہیں		نہیں		
ہے		ہے		
،		،		
ہر		ہر		
ریاست		ریاست		
مےں		مےں		
نسل		نسل		
نو		نو		
کو		کو		
زیور		زیور		
تعلیم		تعلیم		
سے		سے		
آراستہ		آراستہ		
کرنے		کر		
کے		کے		
لئے		لئے		
اسکالر		اسکالر		
شپس		شپس		
فیس		فیس		
ریمبرسمنٹ		ریمبرسمنٹ		
کی		کا		
سہولت		سہولت		
بھی		بھی		
نہیں		نہیں		
ہے		ہے		
اور		اور		
ہر		ہر		
ریاست		ریاست		
مےں		مےں		
دو		دو		
روپئے		روپیہ		
کیلو		کیلو		
چاول		چاول		
اسکیم		اسکیم		
بھی		بھی		
نہیں		نہیں		
ہے		ہے		
۔		۔		
یہ		یہ		
تمام		تمام		
اسکیمات		اسکیم		
صرف		صرف		
اور		اور		
صرف		صرف		
وائی		وائی		
ایس		ایس		
آر		آر		
کی		کا		
دین		دین		
ہےں		ہے		
اور		اور		
انہی		انہی		
اسکیمات		اسکیم		
کے		کا		
تناظر		تناظر		
مےں		مےں		
کڑپہ		کڑپہ		
علاقہ		علاقہ		
کے		کا		
عوام		عام		
ماں		ماں		
اور		اور		
بیٹے		بیٹے		
کو		کو		
انتخابات		انتخاب		
مےں		مےں		
کامیابی		کامیابی		
سے		سے		
ہمکنار		ہمکنار		
کروا		کروا		
سکتے		سک		
ہیں		ہے		
۔		۔		
کانگریس		کانگریس		
پارٹی		پارٹی		
،		،		
آنجہانی		آنجہانی		
وائی		وائی		
ایس		ایس		
آر		آر		
کی		کا		
خدمات		خدمت		
اور		اور		
ان		وہ		
کی		کا		
حکمت		حکمت		
عملی		عملی		
سے		سے		
ریاست		ریاست		
ہی		ہی		
نہیں		نہیں		
NULL		null		
NULL		null		
مرکز		مرکز		
کی		کا		
کرسی		کرسی		
سنبھالے		سنبھال		
ہوئے		ہو		
ہے		ہے		
اور		اور		
آج		آج		
آنجہانی		آنجہانی		
وائی		وائی		
ایس		ایس		
آر		آر		
کی		کا		
اہلیہ		اہلیہ		
اور		اور		
ان		وہ		
کے		کا		
فرزند		فرزند		
کو		کو		
سیاسی		سیاسی		
نقشہ		نقشہ		
سے		سے		
ہٹانے		ہٹا		
کے		کے		
لئے		لئے		
وہ		وہ		
اپنی		اپنا		
ہر		ہر		
طاقت		طاقت		
کا		کا		
استعمال		استعمال		
کر		کر		
رہی		رہ		
ہے		ہے		
۔		۔		
ریاست		ریاست		
کے		کا		
تمام		تمام		
وزرا		وزیر		
کو		کو		
کڑپہ		کڑپہ		
مےں		مےں		
متحرک		متحرک		
کر		کر		
دیا		دے		
گیا		جا		
ہے		ہے		
،		،		
NULL		null		
سرکاری		سرکاری		
مشنری		مشنری		
کا		کا		
استعمال		استعمال		
NULL		null		
اس		یہ		
کے		کے		
باوجود		باوجود		
خاندان		خاندان		
کا		کا		
شیرازہ		شیرازہ		
بکھیرتے		بکھیر		
ہوئے		ہو		
بھاوج		بھاوج		
کے		کے		
خلاف		خلاف		
دیور		دیور		
کو		کو		
انتخابی		انتخابی		
میدان		میدان		
مےں		مےں		
اُتارا		اُتار		
گیا		جا		
ہے		ہے		
لیکن		لیکن		
عوام		عام		
کی		کا		
انقلابی		انقلابی		
ذہنیت		ذہنیت		
کے		کے		
آگے		آگے		
کچھ		کچھ		
نہیں		نہیں		
چلےگا		چل		
۔		۔		
یہ		یہ		
انتخابات		انتخاب		
ساری		سارا		
ریاست		ریاست		
کی		کا		
سیاسی		سیاسی		
صورتحال		صورتحال		
تبدیل		تبدیل		
کر		کر		
سکتے		سک		
ہیں		ہے		
۔		۔		
آج		آج		
کے		کا		
سیاسی		سیاسی		
حالات		حالات		
کا		کا		
بغور		بغور		
جائزہ		جائزہ		
لیا		لے		
جائے		جا		
تو		تو		
یہ		یہ		
بات		بات		
واضح		واضح		
دکھائی		دکھا		
دیتی		دے		
ہے		ہے		
کہ		کہ		
سیاسی		سیاسی		
جماعتوں		جماعت		
کو		کو		
عوامی		عوامی		
مسائل		مسئلہ		
نہیں		نہیں		
NULL		null		
بلکہ		بلکہ		
اپنی		اپنا		
اپنی		اپنا		
کرسی		کرسی		
کی		کا		
فکر		فکر		
زیادہ		زیادہ		
ہے		ہے		
۔		۔		
یہاں		یہاں		
قدم		قدم		
قدم		قدم		
پر		پر		
سازشیں		سازش		
ہو		ہو		
رہی		رہ		
ہےں		ہے		
اور		اور		
کوئی		کوئی		
کسی		کوئی		
کو		کو		
اٹھتا		اٹھ		
ہوا		ہو		
نہیں		نہیں		
دیکھ		دیکھ		
سکتے		سک		
۔		۔		
ہر		ہر		
کوئی		کوئی		
دوسرے		دوسرا		
کے		کا		
کندھوں		کندھا		
کو		کو		
اپنی		اپنا		
بلندی		بلندی		
کے		کے		
لئے		لئے		
استعمال		استعمال		
کر		کر		
رہا		رہ		
ہے		ہے		
,		,		
NULL		null		
ترقیاتی		ترقیاتی		
کاموں		کام		
پر		پر		
توجہ		توجہ		
کس		کون		
کو		کو		
ہے		ہے		
شائد		شائد		
وائی		وائی		
ایس		ایس		
جگن		جگن		
موہن		موہن		
ریڈی		ریڈی		
کی		کا		
شخصیت		شخصیت		
مےں		مےں		
اس		یہ		
علاقہ		علاقہ		
کے		کا		
عوام		عام		
کو		کو		
آنجہانی		آنجہانی		
وائی		وائی		
ایس		ایس		
راج		راج		
شیکھر		شیکھر		
ریڈی		ریڈی		
کا		کا		
عکس		عکس		
دکھائی		دکھا		
دے		دے		
رہا		رہ		
ہے		ہے		
-		-		
یہی		یہی		
سبب		سبب		
ہے		ہے		
کہ		کہ		
کم		کم		
عمر		عمر		
سیاستداں		سیاستداں		
کی		کا		
مقبولیت		مقبولیت		
آج		آج		
ریاست		ریاست		
کی		کا		
سیاست		سیاست		
مےں		مےں		
بلندی		بلندی		
کو		کو		
پہنچ		پہنچ		
گئی		جا		
ہے		ہے		
۔		۔		
عوام		عام		
کو		کو		
رائےدہی		رائےدہی		
اور		اور		
نتائج		نتیجہ		
کا		کا		
انتظار		انتظار		
ہے		ہے		
تاہم		تاہم		
یہ		یہ		
انتخابات		انتخاب		
ریاست		ریاست		
کی		کا		
سیاست		سیاست		
مےں		مےں		
اےک		اےک		
سیاسی		سیاسی		
طوفان		طوفان		
بھی		بھی		
برپا		برپا		
کر		کر		
سکتے		سک		
ہیں		ہے		
۔		۔		
ہر		ہر		
سال		سال		
کی		کا		
طرح		طرح		
اس		یہ		
سال		سال		
بھی		بھی		
گورنمنٹ		گورنمنٹ		
کالج		کالج		
بودھن		بودھن		
مےں		مےں		
انٹر		انٹر		
سال		سال		
دوم		دوم		
اردو		اردو		
میڈیم		میڈیم		
کے		کا		
نتائج		نتئجہ		
91		91		
فیصد		فیصد		
رہے		رہ		
۔		۔		
پرنسپل		پرنسپل		
گورنمنٹ		گورنمنٹ		
جونیر		جونیر		
کالج		کالج		
بودھن		بودھن		
جناب		جناب		
رشید		رشید		
بیگ		بیگ		
کی		کا		
اطلاع		اطلاع		
کے		کے		
بموجب		بموجب		
ایم		ایم		
پی		پی		
سی		سی		
گروپ		گروپ		
مےں		مےں		
933		933		
نشانات		نشان		
کے		کے		
ساتھ		ساتھ		
طالبہ		طالبہ		
فرحانہ		فرحانہ		
بیگم		بیگم		
نے		نے		
گورنمنٹ		گورنمنٹ		
جونیر		جونیر		
کالجس		کالج		
مےں		مےں		
پہلا		پہلا		
اور		اور		
ضلع		ضلع		
مےں		مےں		
چوتھا		چوتھا		
مقام		مقام		
حاصل		حاصل		
کیا		کر		
اور		اور		
بودھن		بودھن		
شہر		شہر		
کی		کا		
سطح		سطح		
پر		پر		
اردو		اردو		
میڈیم		میڈیم		
مےں		مےں		
پہلا		پہلا		
رینک		رینک		
حاصل		حاصل		
کیا		کر		
۔		۔		
اسی		یہ		
طرح		طرح		
سی		سی		
ای		ای		
سی		سی		
مےں		مےں		
830		830		
نشانات		نشان		
اور		اور		
بی		بی		
پی		پی		
سی		سی		
مےں		مےں		
811		811		
نشانات		نشان		
حاصل		حاصل		
کرتے		کر		
ہوئے		ہو		
جونیر		جونیر		
کالج		کالج		
بودھن		بودھن		
نے		نے		
بہترین		بہترین		
مظاہرہ		مظاہرہ		
کیا		کر		
۔		۔		
پرنسپل		پرنسپل		
رشید		رشید		
بیگ		بیگ		
نے		نے		
تمام		تمام		
سرپرستوں		سرپرست		
اور		اور		
لکچرر		لکچرر		
صاحبان		صاحب		
کو		کو		
مبارکباد		مبارکباد		
پیش		پیش		
کی		کر		
ہے		ہے		
۔		۔		
انھوں		وہ		
نے		نے		
کہا		کہہ		
کہ		کہ		
اولیائے		اولیائے		
طلبہ		طالب		
تعلیمی		تعلیمی		
معیار		معیار		
کے		کے		
لئے		لئے		
پرائیویٹ		پرائیویٹ		
کالج		کالج		
کے		کے		
بجائے		بجائے		
گورنمنٹ		گورنمنٹ		
جونیر		جونیر		
کالج		کالج		
مےں		مےں		
داخلہ		داخلہ		
دلوائیں		دلوا		
۔		۔		
انھوں		وہ		
نے		نے		
تفصیلات		تفصیل		
بتاتے		بتا		
ہوئے		ہو		
کہا		کہہ		
کہ		کہ		
دیگر		دیگر		
پرائیویٹ		پرائیویٹ		
کالجس		کالج		
سے		سے		
اچھا		اچھا		
مظاہرہ		مظاہرہ		
کرنے		کر		
والے		والا		
طالبہ		طالبہ		
فرحانہ		فرحانہ		
بیگم		بیگم		
اےک		اےک		
پنٹر		پنٹر		
کی		کا		
بیٹی		بیٹی		
ہے		ہے		
۔		۔		
کالج		کالج		
مےں		مےں		
صد		صد		
فیصد		فیصد		
حاضری		حاضری		
اور		اور		
کسی		کوئی		
دوسرے		دوسرا		
ٹیوشن		ٹیوشن		
و		و		
کوچنگ		کوچنگ		
کے		کے		
بغیر		بغیر		
933		933		
نشانات		نشان		
حاصل		حاصل		
کرتے		کر		
ہوئے		ہو		
دوسروں		دوسروں		
کے		کے		
لئے		لئے		
مثال		مثال		
بنی		بن		
ہے		ہے		
۔		۔		
اس		یہ		
طالبہ		طالبہ		
نے		نے		
حساب		حساب		
مےں		مےں		
دونوں		دونوں		
برسوں		برس		
مےں		مےں		
150		150		
مےں		مےں		
150		150		
نشانات		نشان		
حاصل		حاصل		
کئے		کر		
۔		۔		
پرنسپل		پرنسپل		
نے		نے		
اس		یہ		
بات		بات		
پر		پر		
اطمینان		اطمینان		
کا		کا		
اظہار		اظہار		
کیا		کر		
کہ		کہ		
ہر		ہر		
مضمون		مضمون		
مےں		مےں		
کامیابی		کامیابی		
کا		کا		
تناسب		تناسب		
96		96		
فیصد		فیصد		
سے		سے		
زائد		زائد		
ہے		ہے		
۔		۔		
انھوں		وہ		
نے		نے		
کہا		کہہ		
کہ		کہ		
اردو		اردو		
میڈیم		میڈیم		
کے		کا		
طلبہ		طالب		
اگر		اگر		
انگریزی		انگریزی		
مےں		مےں		
اچھا		اچھا		
مظاہرہ		مظاہرہ		
کریں		کر		
تو		تو		
وہ		وہ		
ریاستی		ریاستی		
رینکس		رینکس		
حاصل		حاصل		
کر		کر		
سکتے		سک		
ہیں		ہے		
۔		۔		
انگریزی		انگریزی		
مےں		مےں		
کامیابی		کامیابی		
کا		کا		
تناسب		تناسب		
86		86		
فیصد		فیصد		
رہا		رہ		
۔		۔		
اس		یہ		
سرکس		سرکس		
کی		کا		
افتتاحی		افتتاحی		
تقریب		تقریب		
مےں		مےں		
محمد		محمد		
عباس		عباس		
،		،		
خواجہ		خواجہ		
نصیرالدین		نصیرالدین		
،		،		
NULL		null		
عبدالرحیم		عبدالرحیم		
بابا		بابا		
کے		کے		
علاوہ		علاوہ		
کئی		کئی		
مہمان		مہمان		
شریک		شریک		
تھے		تھا		
۔		۔		
محمد		محمد		
اکبر		اکبر		
صدر		صدر		
وقف		وقف		
کامپلکس		کامپلکس		
,		,		
NULL		null		
محمد		محمد		
ذکی		ذکی		
نائب		نائب		
صدر		صدر		
عیدگاہ		عیدگاہ		
کمیٹی		کمیٹی		
مہمان		مہمان		
خصوصی		خصوصی		
کی		کا		
حیثیت		حیثیت		
سے		سے		
شرکت		شرکت		
کی		کر		
۔		۔		
اس		وہ		
موقع		موقع		
پر		پر		
شہریان		شہریان		
محبوب		محبوب		
نگر		نگر		
کی		کا		
کثیر		کثیر		
تعداد		تعداد		
موجود		موجود		
تھی		تھا		
۔		۔		
مرزا		مرزا		
جاوید		جاوید		
بیگ		بیگ		
منیجر		منیجر		
سرکس		سرکس		
نے		نے		
مہمانوں		مہمان		
کا		کا		
استقبال		استقبال		
کرتے		کر		
ہوئے		ہو		
بتایا		بتا		
کہ		کہ		
اس		یہ		
سرکس		سرکس		
مےں		مےں		
ایسے		ایسا		
کرتب		کرتب		
موجود		موجود		
ہےں		ہے		
جو		جو		
کبھی		کبھی		
نہیں		نہیں		
دیکھے		دیکھ		
گئے		جا		
۔		۔		
اس		یہ		
سرکس		سرکس		
کی		کا		
افتتاحی		افتتاحی		
تقریب		تقریب		
مےں		مےں		
محمد		محمد		
عباس		عباس		
،		،		
خواجہ		خواجہ		
نصیرالدین		نصیرالدین		
،		،		
NULL		null		
عبدالرحیم		عبدالرحیم		
بابا		بابا		
کے		کے		
علاوہ		علاوہ		
کئی		کئی		
مہمان		مہمان		
شریک		شریک		
تھے		تھا		
۔		۔		
سابق		سابق		
پاکستانی		پاکستانی		
کرکٹ		کرکٹ		
کپتان		کپتان		
راشد		راشد		
لطیف		لطیف		
نے		نے		
سابق		سابق		
سری_لنکن		سری		
کپتان		کپتان		
ہاشن		ہاشن		
تلک		تلک		
رتنے		رتنے		
کے		کا		
اس		وہ		
ادعا		ادعا		
کی		کا		
تائید		تائید		
کی		کر		
ہے		ہے		
کہ		کہ		
سری_لنکائی		سری		
کرکٹ		کرکٹ		
ٹیم		ٹیم		
گذشتہ		گذشتہ		
تقریباً		تقریبا		
دو		دو		
دہوں		دہ		
سے		سے		
میچ		میچ		
فکسنگ		فکسنگ		
مےں		مےں		
ملوث		ملوث		
ہے		ہے		
۔		۔		
یہ		یہ		
آج		آج		
بھی		بھی		
کینسر		کینسر		
کی		کا		
طرح		طرح		
پھیل		پھیل		
رہی		رہ		
ہے		ہے		
۔		۔		
ان		وہ		
کا		کا		
کہنا		کہہ		
ہے		ہے		
کہ		کہ		
انہیں		وہ		
NULL		null		
امید		امید		
ہے		ہے		
کہ		کہ		
جب		جب		
ہاشن		ہاشن		
تلک		تلک		
رتنے		رتنے		
میچ		میچ		
فکسنگ		فکسنگ		
کے		کے		
تعلق		تعلق		
سے		سے		
پردے		پردہ		
فاش		فاش		
کریں_گے		کر		
تو		تو		
مزید		مزید		
بڑے		بڑا		
کھلاڑیوں		کھلاڑی		
کے		کا		
نام		نام		
سامنے		سامنے		
آئیں_گے		آ		
۔		۔		
لطیف		لطیف		
نے		نے		
کہا		کہہ		
کہ		کہ		
وہ		وہ		
تلک		تلک		
رتنے		رتنے		
کو		کو		
شخصی		شخصی		
طور		طور		
پر		پر		
جانتے		جا		
ہیں		ہے		
۔		۔		
انہوں		وہ		
(		(		
تلک		تلک		
رتنے		رتنے		
)		)		
نے		نے		
1993		1993		
-		-		
94		94		
مےں		مےں		
بھی		بھی		
اس		وہ		
تعلق		تعلق		
سے		سے		
ان		وہ		
سے		سے		
کچھ		کچھ		
کہا		کہہ		
تھا		تھا		
۔		۔		
جہاں		جہاں		
تک		تک		
ذیلی		ذیلی		
براعظم		براعظم		
کا		کا		
سوال		سوال		
ہے		ہے		
NULL		null		
یہاں		یہاں		
کے		کا		
کھلاڑیوں		کھلاڑی		
کو		کو		
تلک		تلک		
رتنے		رتنے		
سے		سے		
زیادہ		زیادہ		
کوئی		کوئی		
نہیں		نہیں		
جانتا		جا		
اور		اور		
اگر		اگر		
وہ		وہ		
حقائق		حقائق		
کو		کو		
بےنقاب		بےنقاب		
کریں_گے		کر		
تو		تو		
ہندوستان		ہندوستان		
,		,		
پاکستان		پاکستان		
اور		اور		
سری		سری		
لنکا		لنکا		
کے		کا		
کئی		کئی		
سابق		سابق		
کرکٹرس		کرکٹرس		
بےنقاب		بےنقاب		
ہو		ہو		
جائیں_گے		جا		
اور		اور		
ان		وہ		
کے		کا		
نام		نام		
سامنے		سامنے		
آ		آ		
جائیں_گے		جا		
۔		۔		
راشد		راشد		
لطیف		لطیف		
نے		نے		
جو		جو		
سابق		سابق		
ٹسٹ		ٹسٹ		
وکٹ		وکٹ		
کیپر		کیپر		
بھی		بھی		
ہےں		ہے		
,		,		
کہا		کہہ		
کہ		کہ		
جہاں		جہاں		
تک		تک		
وہ		وہ		
جانتے		جا		
ہےں		ہے		
ان		وہ		
کے		کا		
خیال		خیال		
مےں		مےں		
تلک		تلک		
رتنے		رتنے		
اس		وہ		
تعلق		تعلق		
سے		سے		
اپنے		اپنا		
عزم		عزم		
کا		کا		
احترام		احترام		
کریں_گے		کر		
اور		اور		
اگر		اگر		
وہ		وہ		
حقائق		حقائق		
کا		کا		
انکشاف		انکشاف		
کرتے		کر		
ہےں		ہے		
تو		تو		
یہ		یہ		
ذیلی		ذیلی		
براعظم		براعظم		
کے		کا		
کچھ		کچھ		
کھلاڑیوں		کھلاڑی		
کے		کے		
لئے		لئے		
انتہائی		انتہائی		
تباہ_کن		تباہ_کن		
ہوگا		ہو		
تاہم		تاہم		
اگر		اگر		
کوئی		کوئی		
معاملت		معاملت		
کر		کر		
لی		لے		
جاتی		جا		
ہے		ہے		
تو		تو		
پھر		پھر		
سب		سب		
کچھ		کچھ		
پوشیدہ		پوشیدہ		
رہ		رہ		
سکتا		سک		
ہے		ہے		
۔		۔		
گذشتہ		گذشتہ		
ہفتے		ہفتہ		
اےک		اےک		
انٹرویو		انٹرویو		
مےں		مےں		
تلک		تلک		
رتنے		رتنے		
نے		نے		
اعتراف		اعتراف		
کیا		کر		
تھا		تھا		
کہ		کہ		
سری		سری		
لنکا		لنکا		
کی		کا		
ٹیم		ٹیم		
1992		1992		
سے		سے		
میچ		میچ		
فکسنگ		فکسنگ		
مےں		مےں		
ملوث		ملوث		
ہے		ہے		
۔		۔		
سری		سری		
لنکا		لنکا		
کے		کے		
لئے		لئے		
83		83		
ٹسٹ		ٹسٹ		
اور		اور		
200		200		
ونڈے		ونڈے		
میچس		میچس		
